Tank,date,week,average.temp,power,trophic.level,Sum.Phyto,Cyano abundance,Rest,Rest.Cyano.ratio,Cyano.SumPhyto.ratio
25,10/07/2012,2,22.377,0,P,68,6,62,10.33333333,0.088235294
6,10/07/2012,2,23.234,50,P,33,13,17,1.307692308,0.393939394
15,10/07/2012,2,26.966,100,P,22,1,22,22,0.045454545
3,10/07/2012,2,27.684,150,P,226,214,12,0.056074766,0.946902655
29,10/07/2012,2,28.328,200,P,84,58,26,0.448275862,0.69047619
17,10/07/2012,2,27.356,250,P,14,5,9,1.8,0.357142857
27,10/07/2012,2,28.637,300,P,17,6,11,1.833333333,0.352941176
14,10/07/2012,2,29.458,350,P,35,4,31,7.75,0.114285714
1,10/07/2012,2,30.023,400,P,44,17,27,1.588235294,0.386363636
8,10/07/2012,2,31.976,450,P,43,29,14,0.482758621,0.674418605
11,10/07/2012,2,22.853,0,PZ,13,3,8,2.666666667,0.230769231
21,10/07/2012,2,23.476,50,PZ,337,299,38,0.127090301,0.887240356
28,10/07/2012,2,26.966,100,PZ,8,1,5,5,0.125
19,10/07/2012,2,27.698,150,PZ,66,9,57,6.333333333,0.136363636
12,10/07/2012,2,27.987,200,PZ,200,137,63,0.459854015,0.685
13,10/07/2012,2,27.568,250,PZ,3,1,3,3,0.333333333
22,10/07/2012,2,28.035,300,PZ,271,95,176,1.852631579,0.350553506
20,10/07/2012,2,29.023,350,PZ,60,38,22,0.578947368,0.633333333
9,10/07/2012,2,30.213,400,PZ,29,20,9,0.45,0.689655172
30,10/07/2012,2,31.465,450,PZ,72,21,51,2.428571429,0.291666667
2,10/07/2012,2,22.948,0,PZN,24,4,16,4,0.166666667
24,10/07/2012,2,23.687,50,PZN,105,77,28,0.363636364,0.733333333
5,10/07/2012,2,26.945,100,PZN,13,3,10,3.333333333,0.230769231
16,10/07/2012,2,27.012,150,PZN,25,11,14,1.272727273,0.44
10,10/07/2012,2,26.568,200,PZN,35,16,19,1.1875,0.457142857
26,10/07/2012,2,27.238,250,PZN,25,6,19,3.166666667,0.24
4,10/07/2012,2,28.023,300,PZN,18,9,5,0.555555556,0.5
7,10/07/2012,2,29.789,350,PZN,13,8,5,0.625,0.615384615
23,10/07/2012,2,30.123,400,PZN,50,34,16,0.470588235,0.68
18,10/07/2012,2,31.003,450,PZN,56,42,14,0.333333333,0.75
25,17/07/2012,3,21.236,0,P,77,63,14,0.222222222,0.818181818
6,17/07/2012,3,20.57,50,P,248,158,90,0.569620253,0.637096774
15,17/07/2012,3,24.855,100,P,146,82,64,0.780487805,0.561643836
3,17/07/2012,3,26.605,150,P,497,174,323,1.856321839,0.350100604
29,17/07/2012,3,27.63,200,P,225,129,96,0.744186047,0.573333333
17,17/07/2012,3,29.023,250,P,94,60,34,0.566666667,0.638297872
27,17/07/2012,3,30.102,300,P,117,93,24,0.258064516,0.794871795
14,17/07/2012,3,31.146,350,P,123,88,35,0.397727273,0.715447154
1,17/07/2012,3,31.456,400,P,189,71,118,1.661971831,0.375661376
8,17/07/2012,3,32.456,450,P,391,381,10,0.026246719,0.974424552
11,17/07/2012,3,20.475,0,PZ,95,44,51,1.159090909,0.463157895
21,17/07/2012,3,21.249,50,PZ,324,215,108,0.502325581,0.663580247
28,17/07/2012,3,25.046,100,PZ,95,67,28,0.417910448,0.705263158
19,17/07/2012,3,26.451,150,PZ,14,11,3,0.272727273,0.785714286
12,17/07/2012,3,28.001,200,PZ,177,52,125,2.403846154,0.293785311
13,17/07/2012,3,29.1465,250,PZ,150,66,84,1.272727273,0.44
22,17/07/2012,3,30.125,300,PZ,244,101,143,1.415841584,0.413934426
20,17/07/2012,3,31.456,350,PZ,403,328,75,0.228658537,0.813895782
9,17/07/2012,3,31.465,400,PZ,294,102,192,1.882352941,0.346938776
30,17/07/2012,3,32.458,450,PZ,150,86,62,0.720930233,0.573333333
2,17/07/2012,3,21.616,0,PZN,377,192,185,0.963541667,0.50928382
24,17/07/2012,3,21.978,50,PZN,69,11,58,5.272727273,0.15942029
5,17/07/2012,3,25.364,100,PZN,337,172,165,0.959302326,0.510385757
16,17/07/2012,3,26.657,150,PZN,108,66,41,0.621212121,0.611111111
10,17/07/2012,3,28.1238,200,PZN,217,118,99,0.838983051,0.543778802
26,17/07/2012,3,29.345,250,PZN,271,200,71,0.355,0.73800738
4,17/07/2012,3,30.126,300,PZN,198,85,113,1.329411765,0.429292929
7,17/07/2012,3,31.003,350,PZN,194,80,114,1.425,0.412371134
23,17/07/2012,3,31.645,400,PZN,482,331,151,0.456193353,0.686721992
18,17/07/2012,3,32.003,450,PZN,375,266,109,0.409774436,0.709333333
25,41135,7,17.665,0,P,170,23,148,6.434782609,0.135294118
6,41135,7,18.711,50,P,301,54,245,4.537037037,0.179401993
15,41135,7,21.664,100,P,202,112,90,0.803571429,0.554455446
3,41135,7,22.654,150,P,296,140,156,1.114285714,0.472972973
29,41135,7,23.65,200,P,65,8,57,7.125,0.123076923
17,41135,7,24.035,250,P,70,17,53,3.117647059,0.242857143
27,41135,7,25.138,300,P,221,54,167,3.092592593,0.244343891
14,41135,7,26.486,350,P,214,6,208,34.66666667,0.028037383
1,41135,7,27.312,400,P,234,94,139,1.478723404,0.401709402
8,41135,7,28.302,450,P,217,195,22,0.112820513,0.898617512
11,41135,7,17.95,0,PZ,150,17,133,7.823529412,0.113333333
21,41135,7,18.746,50,PZ,50,29,22,0.75862069,0.58
28,41135,7,21.76,100,PZ,348,43,305,7.093023256,0.123563218
19,41135,7,22.039,150,PZ,231,51,180,3.529411765,0.220779221
12,41135,7,23.658,200,PZ,256,52,204,3.923076923,0.203125
13,41135,7,24.103,250,PZ,229,30,198,6.6,0.131004367
22,41135,7,25.326,300,PZ,274,55,219,3.981818182,0.200729927
20,41135,7,26.456,350,PZ,15,12,3,0.25,0.8
9,41135,7,27.312,400,PZ,44,8,36,4.5,0.181818182
30,41135,7,28.003,450,PZ,13,10,11,1.1,0.769230769
2,41135,7,17.76,0,PZN,277,50,226,4.52,0.180505415
24,41135,7,18.413,50,PZN,227,85,142,1.670588235,0.374449339
5,41135,7,21.697,100,PZN,155,51,104,2.039215686,0.329032258
16,41135,7,22.456,150,PZN,235,4,231,57.75,0.017021277
10,41135,7,23.015,200,PZN,223,27,196,7.259259259,0.121076233
26,41135,7,24.687,250,PZN,391,69,322,4.666666667,0.176470588
4,41135,7,25.687,300,PZN,201,72,129,1.791666667,0.358208955
7,41135,7,26.315,350,PZN,196,72,124,1.722222222,0.367346939
23,41135,7,27.453,400,PZN,40,11,29,2.636363636,0.275
18,41135,7,28.645,450,PZN,230,168,62,0.369047619,0.730434783
25,41142,8,14.038,0,P,76,17,59,3.470588235,0.223684211
6,41142,8,15.091,50,P,223,18,205,11.38888889,0.080717489
15,41142,8,17.665,100,P,36,8,28,3.5,0.222222222
3,41142,8,18.654,150,P,74,17,57,3.352941176,0.22972973
29,41142,8,19.564,200,P,153,77,76,0.987012987,0.503267974
17,41142,8,20.158,250,P,8,3,5,1.666666667,0.375
27,41142,8,21.038,300,P,313,74,236,3.189189189,0.236421725
14,41142,8,21.999,350,P,63,12,51,4.25,0.19047619
1,41142,8,23.789,400,P,262,8,254,31.75,0.030534351
8,41142,8,27.469,450,P,42,14,28,2,0.333333333
11,41142,8,17.57,0,PZ,199,45,154,3.422222222,0.226130653
21,41142,8,15.7465,50,PZ,21,11,9,0.818181818,0.523809524
28,41142,8,17.855,100,PZ,526,55,471,8.563636364,0.104562738
19,41142,8,18.123,150,PZ,112,7,105,15,0.0625
12,41142,8,19.203,200,PZ,223,39,184,4.717948718,0.174887892
13,41142,8,20.158,250,PZ,84,30,54,1.8,0.357142857
22,41142,8,21.648,300,PZ,6,2,4,2,0.333333333
20,41142,8,22.978,350,PZ,15,3,9,3,0.2
9,41142,8,23.996,400,PZ,138,31,107,3.451612903,0.224637681
30,41142,8,24.978,450,PZ,27,18,6,0.333333333,0.666666667
2,41142,8,15.187,0,PZN,93,9,84,9.333333333,0.096774194
24,41142,8,15.632,50,PZN,156,64,91,1.421875,0.41025641
5,41142,8,17.687,100,PZN,797,18,776,43.11111111,0.022584693
16,41142,8,18.654,150,PZN,94,16,78,4.875,0.170212766
10,41142,8,19.456,200,PZN,131,57,72,1.263157895,0.435114504
26,41142,8,20.468,250,PZN,195,41,133,3.243902439,0.21025641
4,41142,8,21.798,300,PZN,197,29,166,5.724137931,0.147208122
7,41142,8,23.003,350,PZN,81,2,79,39.5,0.024691358
23,41142,8,23.78,400,PZN,23,8,14,1.75,0.347826087
18,41142,8,23.125,450,PZN,25,9,16,1.777777778,0.36
